Col1	Col2
0.273608262	0.540284453
0.448743594	0.259329944
0.572397987	0.678228714
0.506748411	0.463211827
0.396448341	0.624488589
0.736312882	0.455853349
0.555739614	0.766815533
0.573423935	0.406939227
0.769426536	0.396326752
0.247602763	0.329699995
0.651764212	0.35912089
0.6094857	0.45853183
0.188643817	0.794946168
0.635095474	0.732626671
0.393238604	0.782883854
0.588469547	0.616107399
0.728199904	0.416393487
0.423269406	0.584090068
0.595299303	0.786964721
0.40881646	0.533910998
0.736022516	0.341297255
0.59608194	0.552996909
-0.032109115	0.3339793
0.285699288	0.440033211
0.548015587	0.323004291
0.487871816	0.658497426
0.322568917	0.806136715
0.266524929	0.087971619
0.361608919	0.556967132
-0.023724252	0.627164074
0.23220706	0.51606831
0.597971668	0.78358295
0.398517546	0.415809349
0.749374254	0.244043517
0.438978137	0.735500567
0.453220213	0.45584524
0.767578931	0.483183972
0.650705493	0.500276225
0.161478961	0.277972163
0.758193399	0.208816078
0.595413679	0.604672837
0.715744118	0.685418752
0.59539094	0.614158103
0.582848238	0.502263716
0.313240773	0.262873401
0.498761239	0.564113921
0.246179073	0.68315182
0.579272786	0.593901499
0.514759396	0.493780299
0.420495236	0.433513059
0.384613577	0.436901027
0.276436719	0.674785495
0.905322107	0.601018337
0.607988068	0.549654075
0.351879153	0.52773656
0.336140377	0.21019371
0.617814464	0.576618499
0.473284403	0.224541266
0.613424298	0.61071707
0.666980911	0.746700466
0.845481301	0.466379047
0.214468864	0.205635034
0.59013029	0.56885097
0.426619689	0.810137626
0.448337848	0.50312063
0.544812672	0.795767098
0.654176701	0.866009157
-0.005532657	0.457098913
0.571206952	0.328385652
0.706765597	0.721160026
0.418691696	0.910736225
0.102045402	0.461041042
0.320960515	0.6648111
0.696419831	0.303381488
0.546098341	0.567922855
0.716914636	-0.027449052
0.508419844	0.704134787
0.497154591	0.281913917
0.615451413	0.747844451
0.390955027	0.518512371
0.895306272	0.472340445
0.360533293	0.650606458
0.460039002	0.927778385
0.428385275	0.499385065
0.691535089	0.820921321
0.604248788	0.344031629
0.702909964	0.709546757
0.453013103	0.584392791
0.542155832	0.540696952
0.423597902	0.536168874
0.888030153	0.65518901
0.449447843	0.429826599
0.51247741	0.435093656
0.425776685	0.618412869
0.299460381	0.499868922
0.681515287	0.622489276
0.489531323	0.577860378
0.495454588	0.055509993
0.371703445	0.80708943
0.450190668	0.571002782
6.419517386	2.656660906
5.655108435	3.516833475
6.316874364	3.137190075
5.91818583	3.186823592
5.691916684	2.891480836
5.968216051	3.172613067
